date,open,high,low,close,volume,dividends,splits,Capital Gains,symbol,Sector,Industry,return,ma5,ma20,ma50,volatility,volume_ma20,day_of_week,month,year,next_day_close,price_up
2015-05-13 00:00:00-04:00,177.08389201892564,177.71492218115253,176.4696929224271,176.7052764892578,94667900,0.0,0.0,0.0,SPY,Unknown,Unknown,0.010427218656235526,178.50577697753906,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,2,5,2015,178.54782104492188,1
2015-05-14 00:00:00-04:00,177.73168797443486,178.64037261492567,177.45403326442351,178.54782104492188,95934000,0.0,0.0,0.0,SPY,Unknown,Unknown,0.010427218656235526,178.50577697753906,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,3,5,2015,178.74131774902344,1
2015-05-15 00:00:00-04:00,178.74131774902344,178.8843496468911,178.2533197712972,178.74131774902344,76510100,0.0,0.0,0.0,SPY,Unknown,Unknown,0.001083724813717435,178.50577697753906,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,4,5,2015,179.29669189453125,1
2015-05-18 00:00:00-04:00,178.5731101955781,179.54909366528443,178.5057987772638,179.29669189453125,74549700,0.0,0.0,0.0,SPY,Unknown,Unknown,0.0031071391466837017,178.50577697753906,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,0,5,2015,179.23777770996094,0
2015-05-19 00:00:00-04:00,179.4144717761179,179.69212654388485,178.95171382983963,179.23777770996094,72114600,0.0,0.0,0.0,SPY,Unknown,Unknown,-0.00032858489438813976,178.50577697753906,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,1,5,2015,179.111572265625,0
2015-05-20 00:00:00-04:00,179.3387338384549,179.8688031850696,178.79184626756037,179.111572265625,76857500,0.0,0.0,0.0,SPY,Unknown,Unknown,-0.0007041230144024802,178.9870361328125,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,2,5,2015,179.63323974609375,1
2015-05-21 00:00:00-04:00,178.96856033922865,179.84358311816177,178.80027537090177,179.63323974609375,64764600,0.0,0.0,0.0,SPY,Unknown,Unknown,0.0029125280620903027,179.20411987304686,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,3,5,2015,179.20413208007812,0
2015-05-22 00:00:00-04:00,179.2461904810478,179.66687719746236,179.13682066485103,179.20413208007812,57433500,0.0,0.0,0.0,SPY,Unknown,Unknown,-0.0023887987914829045,179.29668273925782,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,4,5,2015,177.27737426757812,0
2015-05-26 00:00:00-04:00,178.7077064916517,179.1368151457113,176.85668756412477,177.27737426757812,124308600,0.0,0.0,0.0,SPY,Unknown,Unknown,-0.010751748802527716,178.8928192138672,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,1,5,2015,178.9601287841797,1
2015-05-27 00:00:00-04:00,177.74013985932214,179.1957123211864,177.32786225039047,178.9601287841797,93214000,0.0,0.0,0.0,SPY,Unknown,Unknown,0.009492212548577461,178.83728942871093,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,2,5,2015,178.7582550048828,0
2015-05-28 00:00:00-04:00,178.64887231986307,178.86762485155924,178.05991332041694,178.7582550048828,74974600,0.0,0.0,0.0,SPY,Unknown,Unknown,-0.0011280377404082609,178.7666259765625,177.94206848144532,177.41183135986327,0.005872662388340955,95258810.0,3,5,2015,177.6475830078125,0
