date,open,high,low,close,volume,dividends,splits,symbol,Sector,Industry,return,ma5,ma20,ma50,volatility,volume_ma20,day_of_week,month,year,next_day_close,price_up
2015-05-13 00:00:00-04:00,100.99421008623713,101.15072423200792,100.14722293092066,100.52468872070312,4141400,0.0,0.0,DIS,Communication Services,Entertainment,0.006777412702455576,101.32749938964844,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,2,5,2015,101.20598602294922,1
2015-05-14 00:00:00-04:00,100.98503432296953,101.27043056144029,100.35899865308714,101.20598602294922,4662000,0.0,0.0,DIS,Communication Services,Entertainment,0.006777412702455576,101.32749938964844,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,3,5,2015,101.54661560058594,1
2015-05-15 00:00:00-04:00,101.36248334853057,101.90566471218487,100.97581615510515,101.54661560058594,5852200,0.0,0.0,DIS,Communication Services,Entertainment,0.0033657058344302992,101.32749938964844,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,4,5,2015,101.57422637939453,1
2015-05-18 00:00:00-04:00,101.70311543460276,101.95168517709673,101.27962182121476,101.57422637939453,4868900,0.0,0.0,DIS,Communication Services,Entertainment,0.0002719025015780474,101.32749938964844,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,0,5,2015,101.78598022460938,1
2015-05-19 00:00:00-04:00,101.90566794822789,102.18185579919052,101.70312597649881,101.78598022460938,4549600,0.0,0.0,DIS,Communication Services,Entertainment,0.002084720236252835,101.32749938964844,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,1,5,2015,101.45454406738281,0
2015-05-20 00:00:00-04:00,101.9885170524777,102.0161351337883,101.28882855559223,101.45454406738281,4393500,0.0,0.0,DIS,Communication Services,Entertainment,-0.003256206370417458,101.51347045898437,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,2,5,2015,101.62947082519531,1
2015-05-21 00:00:00-04:00,101.30724816090306,101.85963087453653,101.17835909518617,101.62947082519531,4880600,0.0,0.0,DIS,Communication Services,Entertainment,0.0017241884966365806,101.5981674194336,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,3,5,2015,101.50979614257812,0
2015-05-22 00:00:00-04:00,101.54662259552595,102.09900534188795,101.38090706922459,101.50979614257812,4267700,0.0,0.0,DIS,Communication Services,Entertainment,-0.0011775588482895172,101.59080352783204,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,4,5,2015,100.7548599243164,0
2015-05-26 00:00:00-04:00,101.42692329815384,102.05295887900243,100.12882434346781,100.7548599243164,5970800,0.0,0.0,DIS,Communication Services,Entertainment,-0.007437077473797293,101.4269302368164,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,1,5,2015,101.61105346679688,1
2015-05-27 00:00:00-04:00,100.8193023947184,101.83200513084093,100.62596881068902,101.61105346679688,3984200,0.0,0.0,DIS,Communication Services,Entertainment,0.008497789021032043,101.3919448852539,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,2,5,2015,101.75836181640625,1
2015-05-28 00:00:00-04:00,101.37169461193895,101.76757018525377,100.90216613569869,101.75836181640625,3392000,0.0,0.0,DIS,Communication Services,Entertainment,0.0014497276091869349,101.4527084350586,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,3,5,2015,101.61105346679688,0
2015-05-29 00:00:00-04:00,101.57422701880175,101.74914386687018,100.72723978669394,101.61105346679688,5264900,0.0,0.0,DIS,Communication Services,Entertainment,-0.0014476289415423782,101.4490249633789,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,4,5,2015,102.15422821044922,1
2015-06-01 00:00:00-04:00,102.63296501251915,102.89994446976083,101.77676940874676,102.15422821044922,6778900,0.0,0.0,DIS,Communication Services,Entertainment,0.0053456265349107746,101.57791137695312,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,0,6,2015,101.96088409423828,0
2015-06-02 00:00:00-04:00,102.11739121478062,102.42120411272242,101.28881377672396,101.96088409423828,4425900,0.0,0.0,DIS,Communication Services,Entertainment,-0.0018926687577984769,101.8191162109375,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,1,6,2015,102.34757995605469,1
2015-06-03 00:00:00-04:00,101.96091271772119,102.94599755286303,101.73075264386628,102.34757995605469,4510300,0.0,0.0,DIS,Communication Services,Entertainment,0.0037925903178614995,101.96642150878907,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,2,6,2015,101.54661560058594,0
2015-06-04 00:00:00-04:00,102.14502610396602,102.42122097008544,101.26121236588193,101.54661560058594,5748200,0.0,0.0,DIS,Communication Services,Entertainment,-0.007825923737646345,101.924072265625,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,3,6,2015,101.54661560058594,0
2015-06-05 00:00:00-04:00,101.54661560058594,101.9793105890798,101.08629550633836,101.54661560058594,4323500,0.0,0.0,DIS,Communication Services,Entertainment,0.0,101.91118469238282,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,4,6,2015,100.61677551269531,0
2015-06-08 00:00:00-04:00,101.29804734282662,101.49138095581276,100.5431226056736,100.61677551269531,6068100,0.0,0.0,DIS,Communication Services,Entertainment,-0.00915678068039183,101.60369415283203,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,0,6,2015,99.90787506103516,0
2015-06-09 00:00:00-04:00,100.67200814067564,100.72725133096311,99.10692255310644,99.90787506103516,7711800,0.0,0.0,DIS,Communication Services,Entertainment,-0.007045549293822395,101.1930923461914,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,1,6,2015,101.27042388916016,1
2015-06-10 00:00:00-04:00,100.25772105505403,101.5005839434537,100.10121390387701,101.27042388916016,5128700,0.0,0.0,DIS,Communication Services,Entertainment,0.013638052328633687,100.9776611328125,101.41588172912597,104.41624420166016,0.005887086984065149,5046160.0,2,6,2015,101.84122467041016,1
2015-06-11 00:00:00-04:00,101.27963356875182,102.15423897681511,101.27963356875182,101.84122467041016,5036300,0.0,0.0,DIS,Communication Services,Entertainment,0.005636401619832698,101.03658294677734,101.48170852661133,104.41624420166016,0.005887086984065149,5090905.0,3,6,2015,101.22438049316406,0
2015-06-12 00:00:00-04:00,101.57422824136528,101.75835345963034,100.84692168854262,101.22438049316406,4009900,0.0,0.0,DIS,Communication Services,Entertainment,-0.0060569202623239615,100.97213592529297,101.48262825012208,104.41624420166016,0.005885495493834195,5058300.0,4,6,2015,101.43612670898438,1
2015-06-15 00:00:00-04:00,100.59834084476496,101.6478770229505,100.2853265816016,101.43612670898438,5742200,0.0,0.0,DIS,Communication Services,Entertainment,0.0020918499554030134,101.13600616455078,101.47710380554199,104.41624420166016,0.005854255439782359,5052800.0,0,6,2015,102.24629974365234,1
2015-06-16 00:00:00-04:00,101.5926460357058,102.45805008303688,101.17836074968798,102.24629974365234,3848300,0.0,0.0,DIS,Communication Services,Entertainment,0.007987026525493324,101.60369110107422,101.51070747375488,104.41624420166016,0.006123747375390306,5001770.0,1,6,2015,102.64217376708984,1
2015-06-17 00:00:00-04:00,102.3751872666457,103.05646607078343,102.08058268407412,102.64217376708984,4732300,0.0,0.0,DIS,Communication Services,Entertainment,0.003871768703904488,101.87804107666015,101.5535171508789,104.41624420166016,0.00616333777791431,5010905.0,2,6,2015,104.23487854003906,1
2015-06-18 00:00:00-04:00,102.95518929795628,104.53869147421244,102.72502926126619,104.23487854003906,6929900,0.0,0.0,DIS,Communication Services,Entertainment,0.01551706003969966,102.35677185058594,101.69253387451172,104.41624420166016,0.006950566078833566,5137725.0,3,6,2015,103.6824951171875,0
2015-06-19 00:00:00-04:00,103.87582870375688,104.47424619966792,103.47995316251667,103.6824951171875,9587700,0.0,0.0,DIS,Communication Services,Entertainment,-0.005299410625200451,102.84839477539063,101.79518508911133,104.41624420166016,0.007107685589447239,5373080.0,4,6,2015,104.5202865600586,1
2015-06-22 00:00:00-04:00,104.40060585605647,105.38569064355491,104.28091812812664,104.5202865600586,5906200,0.0,0.0,DIS,Communication Services,Entertainment,0.008080355723733001,103.46522674560546,101.94570960998536,104.41624420166016,0.007256636843702813,5455005.0,0,6,2015,105.3304443359375,1
2015-06-23 00:00:00-04:00,104.88853396752361,105.43170829177352,104.69520037631973,105.3304443359375,6003100,0.0,0.0,DIS,Communication Services,Entertainment,0.0077512012504230565,104.0820556640625,102.1744888305664,104.41624420166016,0.007065759183897133,5456620.0,1,6,2015,104.74121856689453,0
2015-06-24 00:00:00-04:00,105.22916370825519,105.46852507127016,104.68598240987974,104.74121856689453,5636200,0.0,0.0,DIS,Communication Services,Entertainment,-0.0055940689584838,104.50186462402344,102.33099708557128,104.41624420166016,0.00711206323003668,5539220.0,2,6,2015,105.36725616455078,1
2015-06-25 00:00:00-04:00,105.5237703190355,106.1313891298783,105.31202000645412,105.36725616455078,6213500,0.0,0.0,DIS,Communication Services,Entertainment,0.005976993644163375,104.72834014892578,102.51144180297851,104.41624420166016,0.007180683317869933,5680295.0,3,6,2015,105.86441040039062,1
2015-06-26 00:00:00-04:00,105.8460006876544,106.03933427905648,105.33044444391552,105.86441040039062,9509600,0.0,0.0,DIS,Communication Services,Entertainment,0.0047182991560816845,105.1647232055664,102.7241096496582,104.41624420166016,0.007167686834980884,5892530.0,4,6,2015,104.078369140625,0
2015-06-29 00:00:00-04:00,105.10028024325095,106.04853844999309,104.03233432471593,104.078369140625,7618200,0.0,0.0,DIS,Communication Services,Entertainment,-0.01687102637241944,105.07633972167969,102.820316696167,104.41624420166016,0.008271048607552378,5934495.0,0,6,2015,105.08186340332031,1
2015-06-30 00:00:00-04:00,104.8885298197617,105.74472541776511,104.53868910054995,105.08186340332031,6946700,0.0,0.0,DIS,Communication Services,Entertainment,0.009641717784215631,105.02662353515625,102.97636566162109,104.41624420166016,0.008461179179592408,6060535.0,1,6,2015,106.60975646972656,1
2015-07-01 00:00:00-04:00,106.44307715801749,106.720878365792,105.87821988304667,106.60975646972656,5435400,0.66,0.0,DIS,Communication Services,Entertainment,0.01454002638440044,105.40033111572265,103.1894744873047,104.41624420166016,0.008939365975039155,6106790.0,2,7,2015,106.46159362792969,0
2015-07-02 00:00:00-04:00,106.84124771647893,107.1097869814419,105.98007250979688,106.46159362792969,5549500,0.0,0.0,DIS,Communication Services,Entertainment,-0.0013897681291388242,105.61919860839843,103.43522338867187,104.41624420166016,0.008675959181864288,6096855.0,3,7,2015,107.13756561279297,1
2015-07-06 00:00:00-04:00,105.99859628316004,107.28572813050849,105.81339313601563,107.13756561279297,5880500,0.0,0.0,DIS,Communication Services,Entertainment,0.006349444544534233,105.8738296508789,103.71477088928222,104.41624420166016,0.00869958192726539,6174705.0,0,7,2015,108.43397521972656,1
2015-07-07 00:00:00-04:00,107.80429855703103,108.51731841430767,106.35974912222662,108.43397521972656,8359900,0.0,0.0,DIS,Communication Services,Entertainment,0.012100420608948337,106.74495086669921,104.10563087463379,104.41624420166016,0.008467712853337063,6289295.0,1,7,2015,106.66531372070312,0
2015-07-08 00:00:00-04:00,107.8783643118934,108.04504361230546,106.59123246168049,106.66531372070312,8445200,0.0,0.0,DIS,Communication Services,Entertainment,-0.016310953236192693,107.06164093017578,104.4435028076172,104.41624420166016,0.009303488901015799,6325965.0,2,7,2015,107.04498291015625,1
2015-07-09 00:00:00-04:00,108.18395946777159,108.53583490059988,106.96164678058325,107.04498291015625,7016800,0.0,0.0,DIS,Communication Services,Entertainment,0.0035594437986397054,107.14868621826172,104.73223075866699,104.41624420166016,0.00898254952180918,6420370.0,3,7,2015,107.82281494140625,1
2015-07-10 00:00:00-04:00,108.38767222021967,108.73954762965336,107.10979513349766,107.82281494140625,7020700,0.0,0.0,DIS,Communication Services,Entertainment,0.007266403432497626,107.42093048095703,105.0313102722168,104.41624420166016,0.009016825164555218,6519590.0,4,7,2015,109.31365966796875,1
2015-07-13 00:00:00-04:00,109.03585847651239,109.55441316480132,108.57286120060364,109.31365966796875,7595200,0.0,0.0,DIS,Communication Services,Entertainment,0.013826802123211746,107.85614929199218,105.43577423095704,104.41624420166016,0.009073673615442906,6698855.0,0,7,2015,109.12846374511719,0
2015-07-14 00:00:00-04:00,109.29514305807278,109.3970030307,108.98956314019114,109.12846374511719,5061700,0.0,0.0,DIS,Communication Services,Entertainment,-0.0016941700004745597,107.99504699707032,105.82039108276368,104.41624420166016,0.00915232947680769,6664830.0,1,7,2015,109.545166015625,1
2015-07-15 00:00:00-04:00,109.30440543707013,110.10076137286232,109.12846419911331,109.545166015625,4845200,0.0,0.0,DIS,Communication Services,Entertainment,0.0038184563055985166,108.57101745605469,106.18533439636231,104.41624420166016,0.009096892586909325,6714675.0,2,7,2015,110.25817108154297,1
2015-07-16 00:00:00-04:00,110.19335174546028,110.33225234128825,109.76739509909149,110.25817108154297,6303000,0.0,0.0,DIS,Communication Services,Entertainment,0.006508777081192907,109.21365509033203,106.56613426208496,104.41624420166016,0.00912174861970154,6793210.0,3,7,2015,110.063720703125,0
2015-07-17 00:00:00-04:00,109.9063033138371,110.10076133556537,109.2951434757383,110.063720703125,5109900,0.0,0.0,DIS,Communication Services,Entertainment,-0.0017635915461917673,109.66183624267578,106.85757637023926,104.41624420166016,0.008746721299264617,6702210.0,4,7,2015,110.73043823242188,1
2015-07-20 00:00:00-04:00,110.46189894514612,111.02675622790234,110.09149968460098,110.73043823242188,6951000,0.0,0.0,DIS,Communication Services,Entertainment,0.006057559430461268,109.9451919555664,107.20997352600098,104.41624420166016,0.008562620295155646,6570375.0,0,7,2015,110.48042297363281,0
