Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_Signal,MACD_Hist,MA_20,BB_Upper,BB_Lower,BB_Width,BB_Position,Daily_Return,Volatility_10D,Volatility_30D,Weekly_Return,Monthly_Return,MA_5,MA_10,MA_50,MA_100,MA_200,STD_5,STD_20,Volume_MA_20,Price_Range,Daily_Change,DayOfWeek,Month,Target_1D,Target_1W,Target_1M
2011-04-12,1.6720000505447388,1.6806670427322388,1.6200000047683716,1.6433329582214355,20361000,0.0,0.0,59.918658540468,0.04083422499938938,0.03517555582377869,0.005658669175610691,1.6292000472545625,1.8848695358869056,1.3735305586222193,0.31385892611921196,0.5276390253730988,-0.024535432359909737,1.016172564063596,0.6080464523035215,-0.07677922211517196,0.06021484437188307,1.735199999809265,1.7386000037193299,1.5972933530807496,1.76432004570961,1.5817566722631455,0.06967614345857549,0.12783474431617162,27906900.0,0.06066703796386719,-0.028667092323303223,1,4,1,1,1
2011-04-13,1.675333023071289,1.7126669883728027,1.6540000438690186,1.6619999408721924,18172500,0.0,0.0,60.43336110737187,0.03520375270664555,0.03518119520035206,2.255750629349268e-05,1.6362333953380586,1.8871029920691496,1.3853637986069676,0.30664280223819707,0.5513544603847575,0.01135922124446398,1.0137071557507962,0.6086853297266198,-0.058890197985970616,0.08627449147108157,1.7143999814987183,1.746733295917511,1.5986533522605897,1.7610133755207062,1.5821033370494844,0.07359596232081901,0.12543479836554544,27938250.0,0.05866694450378418,-0.01333308219909668,2,4,1,1,1
2011-04-14,1.6579999923706055,1.685333013534546,1.613332986831665,1.6759999990463257,14751000,0.0,0.0,59.75507897151502,0.03150804540620311,0.03444656524152227,-0.0029385198353191616,1.6440000474452972,1.889362613782325,1.3986374811082694,0.29849459763497,0.5652095225419873,0.008423621343082832,0.4519754197501105,0.6079091989806987,-0.07709250378371335,0.10166546177494729,1.6863999843597413,1.7293332934379577,1.6002533531188965,1.7571133756637574,1.5825400018692017,0.04716317810078529,0.12268128316851394,27983850.0,0.07200002670288086,0.018000006675720215,3,4,1,1,1
2011-04-15,1.7100000381469727,1.745332956314087,1.694000005722046,1.7053329944610596,14152500,0.0,0.0,59.55699336848393,0.03059343623915467,0.033675939441048755,-0.003082503201894085,1.6527333498001098,1.8935019327186944,1.4119647668815252,0.2913580499210044,0.6092327828310063,0.01750178725025342,0.4367131680958365,0.606056965816434,-0.03435279549829007,0.1214375289220313,1.6742665767669678,1.7221332907676696,1.6028533530235292,1.7519000363349915,1.5837466669082643,0.023364796140350183,0.1203842914592923,28175550.0,0.051332950592041016,-0.004667043685913086,4,4,0,1,1
2011-04-18,1.675333023071289,1.7079999446868896,1.6239999532699585,1.668666958808899,15508500,0.0,0.0,54.59818160727358,0.026603293036432607,0.03226141016012553,-0.005658117123692921,1.6604000449180603,1.8923504252631709,1.4284496645729496,0.2793909588897382,0.517820436160826,-0.021500807039594227,0.42226180749778935,0.6097034632267314,-0.009497445197290011,0.09015678536841243,1.6710665702819825,1.7167999863624572,1.6049466919898987,1.7455400359630584,1.58569000184536,0.022669592449990412,0.1159751901725553,28642200.0,0.08399999141693115,-0.006666064262390137,0,4,1,1,1
2011-04-19,1.684000015258789,1.684000015258789,1.6433329582214355,1.6773329973220825,8230500,0.0,0.0,56.046672452154525,0.0238652489494664,0.030582177917993704,-0.006716928968527304,1.670300042629242,1.8860464418118263,1.4545536434466577,0.25833250754514137,0.5162991241556911,0.005193390129429654,0.3748631255837389,0.6087484468968327,0.02068968368859636,0.1069071516539899,1.6778665781021118,1.7065332889556886,1.6077333521842956,1.7386666965484618,1.5887066668272019,0.016542037552471658,0.10787319959129218,28616550.0,0.040667057037353516,-0.006667017936706543,1,4,1,1,1
2011-04-20,1.713333010673523,1.7393330335617065,1.6866669654846191,1.7166670560836792,12558000,0.0,0.0,38.29042494920342,0.024585848737532112,0.02938291208190139,-0.004797063344369277,1.6821000456809998,1.8791842234606826,1.485015867901317,0.23433110091842732,0.5876960565584349,0.023450357695457447,0.4017278244258942,0.6121164067355497,0.032892368926799254,0.16043311821666295,1.688800001144409,1.7015999913215638,1.60941335439682,1.732286697626114,1.5920233368873595,0.02091999189204293,0.09854208888984142,28927350.0,0.0526660680770874,0.00333404541015625,2,4,1,1,1
2011-04-21,1.7233330011367798,1.7986669540405273,1.7059999704360962,1.7826670408248901,20791500,0.0,0.0,50.473995150408314,0.030135196656397856,0.029533368996800684,0.0006018276595971712,1.6968000471591949,1.8762001605258507,1.517399933792539,0.2114569877187473,0.7393169994552939,0.038446584331722544,0.4260062420216923,0.6137430054927523,0.06364381971316235,0.20396216487993657,1.7101334095001222,1.6982666969299316,1.6141200351715088,1.72722669839859,1.5951166719198226,0.04506160718216951,0.08970005668332787,29620275.0,0.09266698360443115,0.05933403968811035,3,4,0,1,1
2011-04-25,1.7799999713897705,1.781999945640564,1.7313330173492432,1.7593330144882202,12013500,0.0,0.0,53.517554977380954,0.03227815151006097,0.030082325499452743,0.0021958260106082275,1.7089333474636077,1.8687977795274158,1.5490689153997996,0.18709264735348308,0.6576325214244532,-0.013089391233638725,0.40706515466362087,0.6157942007686725,0.03166538160145449,0.18181769407113024,1.7209334135055543,1.697599995136261,1.6183466958999633,1.7212666976451874,1.5981133371591567,0.049841123786516596,0.07993221603190408,29794950.0,0.0506669282913208,-0.020666956901550293,0,4,1,1,1
2011-04-26,1.7773330211639404,1.8166669607162476,1.753999948501587,1.7953330278396606,21000000,0.0,0.0,51.50717985361643,0.03646105849740433,0.031358072099043066,0.0051029863983612644,1.7212000012397766,1.866722427664376,1.5756775748151772,0.16909415096418762,0.7547134088583082,0.020462307621682774,0.3254958354724429,0.6069073855592586,0.07590853786736229,0.18373579559410436,1.7462666273117065,1.7086665987968446,1.6232533574104309,1.7163200283050537,1.6014066672325133,0.048813963675818736,0.07276121321229966,30051375.0,0.06266701221466064,0.018000006675720215,1,4,1,0,1
2011-04-27,1.7953330278396606,1.8240000009536743,1.775333046913147,1.8053330183029175,14953500,0.0,0.0,53.89692343487766,0.04012047422532716,0.03311055252429988,0.00700992170102728,1.7317333042621612,1.8689526314685685,1.594513977055754,0.15847628138661024,0.7681827536220409,0.005569991922495854,0.27630507219013206,0.6043771026400032,0.07631163351892045,0.16473101538169055,1.7718666315078735,1.7248666048049928,1.6285866785049439,1.7128066885471345,1.604386667609215,0.03532493568974326,0.06860966360320367,30232500.0,0.048666954040527344,0.009999990463256836,2,4,1,0,1
2011-04-28,1.8046669960021973,1.8459999561309814,1.7813329696655273,1.843999981880188,24000000,0.0,0.0,52.837832711150504,0.0456148685513702,0.03561141572971395,0.010003452821656253,1.7448999524116515,1.8711861809500603,1.6186137238732428,0.14474896209821855,0.8923627723128817,0.021418188879976707,0.2826580589210584,0.604858851858491,0.07417450305535644,0.15635429253535693,1.7973332166671754,1.7430666089057922,1.635013337135315,1.710253357887268,1.6069933325052261,0.031244586076958597,0.06314311426920435,30515025.0,0.0646669864654541,0.03933298587799072,3,4,0,0,1
2011-04-29,1.8459999561309814,1.8580000400543213,1.8279999494552612,1.840000033378601,10890000,0.0,0.0,58.27122159002332,0.049080681677899696,0.0383052689193511,0.010775412758548597,1.7443999528884888,1.8690020607590472,1.6197978450179304,0.14285956344384698,0.883621441578763,-0.0021691694907222114,0.2898393798202088,0.6050668868969583,0.03216135780868057,0.1640655567484861,1.8087998151779174,1.7594666123390197,1.6388399982452393,1.7084466874599458,1.6095633327960968,0.03483117412569773,0.06230105393527921,22421175.0,0.03000009059906006,-0.005999922752380371,4,4,0,0,1
