date,open,high,low,close,volume,dividends,splits,symbol,Sector,Industry,return,ma5,ma20,ma50,price_to_ma5,price_to_ma20,price_to_ma50,ma5_cross_ma20,ma20_cross_ma50,volatility,volume_ma20,rel_volume,day_of_week,month,year,rsi,next_day_close,next_day_direction,next_week_avg,next_week_direction,next_month_avg,next_month_direction
2015-05-18 00:00:00-04:00,2.3499999046325684,2.359999895095825,2.3299999237060547,2.3499999046325684,4732800,0.0,0.0,AMD,Technology,Semiconductors,-0.029787206844054115,2.3019999504089355,2.2959999561309816,2.2155999684333803,0.9904431018709375,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,0,5,2015,47.72727272727273,2.2799999713897705,0,2.275999975204468,0,2.3042856738680886,0
2015-05-19 00:00:00-04:00,2.359999895095825,2.369999885559082,2.2799999713897705,2.2799999713897705,9588400,0.0,0.0,AMD,Technology,Semiconductors,-0.029787206844054115,2.3019999504089355,2.2959999561309816,2.2155999684333803,0.9904431018709375,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,1,5,2015,47.72727272727273,2.319999933242798,1,2.275999975204468,0,2.3157142457507907,1
2015-05-20 00:00:00-04:00,2.299999952316284,2.3299999237060547,2.2799999713897705,2.319999933242798,6947700,0.0,0.0,AMD,Technology,Semiconductors,0.017543843138140724,2.3019999504089355,2.2959999561309816,2.2155999684333803,0.9904431018709375,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,2,5,2015,47.72727272727273,2.2799999713897705,0,2.265999984741211,0,2.3280951976776123,1
2015-05-21 00:00:00-04:00,2.309999942779541,2.3499999046325684,2.2799999713897705,2.2799999713897705,7127700,0.0,0.0,AMD,Technology,Semiconductors,-0.017241363363798556,2.3019999504089355,2.2959999561309816,2.2155999684333803,0.9904431018709375,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,3,5,2015,47.72727272727273,2.2799999713897705,0,2.265999984741211,0,2.3442856697809127,1
2015-05-22 00:00:00-04:00,2.299999952316284,2.309999942779541,2.2699999809265137,2.2799999713897705,12845400,0.0,0.0,AMD,Technology,Semiconductors,0.0,2.3019999504089355,2.2959999561309816,2.2155999684333803,0.9904431018709375,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,4,5,2015,47.72727272727273,2.2200000286102295,0,2.259999990463257,0,2.3599999518621537,1
2015-05-26 00:00:00-04:00,2.2699999809265137,2.2799999713897705,2.2200000286102295,2.2200000286102295,10007800,0.0,0.0,AMD,Technology,Semiconductors,-0.026315764707210976,2.275999975204468,2.2959999561309816,2.2155999684333803,0.9753954537766603,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,1,5,2015,47.72727272727273,2.2799999713897705,1,2.275999975204468,1,2.3790475640978133,1
2015-05-27 00:00:00-04:00,2.240000009536743,2.2799999713897705,2.200000047683716,2.2799999713897705,17511000,0.0,0.0,AMD,Technology,Semiconductors,0.02702700090373522,2.275999975204468,2.2959999561309816,2.2155999684333803,1.0017574675873813,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,2,5,2015,47.72727272727273,2.2699999809265137,0,2.275999975204468,0,2.3933332761128745,1
2015-05-28 00:00:00-04:00,2.2799999713897705,2.3299999237060547,2.2699999809265137,2.2699999809265137,12354600,0.0,0.0,AMD,Technology,Semiconductors,-0.004385960784535126,2.265999984741211,2.2959999561309816,2.2155999684333803,1.0017652233946328,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,3,5,2015,47.72727272727273,2.2799999713897705,1,2.287999963760376,1,2.402857087907337,1
2015-05-29 00:00:00-04:00,2.2699999809265137,2.319999933242798,2.25,2.2799999713897705,7750500,0.0,0.0,AMD,Technology,Semiconductors,0.0044052821794189345,2.265999984741211,2.2959999561309816,2.2155999684333803,1.0061782818812146,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,4,5,2015,47.72727272727273,2.25,0,2.297999954223633,1,2.405714228039696,1
2015-06-01 00:00:00-04:00,2.2899999618530273,2.299999952316284,2.25,2.25,6803700,0.0,0.0,AMD,Technology,Semiconductors,-0.013157882353605488,2.259999990463257,2.2959999561309816,2.2155999684333803,0.9955752254400643,1.0104529519034744,0.7988806671531304,0,0,0.015731216580904348,8863830.0,0.9733715560880567,0,6,2015,47.72727272727273,2.299999952316284,1,2.309999942779541,1,2.4128570897238597,1
